,PubChemID,SMILES,logKp,Total Molweight,cLogP,cLogS,H-Acceptors,H-Donors,Polar Surface Area,Rotatable Bonds,Aromatic Rings,sp3-Atoms,amide_amide,amide_amides,amine_amine,alkyl-amine_alkyl-amine,aromatic amine_aromatic amine,aromatic nitrogen_aromatic nitrogen,basic nitrogen_basic nitrogen,acidic oxygen_acidic oxygen,acidic oxygen_acidic oxygens,AA,ALCOHOL,ALIPH. MISC.,AROM. MISC.,AZEPANE,AZONE OTHER,CAPROLACTAM,ESTER,ETHER,FATTY ACID,INORGANIC MISC.,MORPHOLINE,PIPERAZINE,PIPERIDINE,PIPERIDONE,POLYOL,PYRROLIDINE,PYRROLIDONE,STEROID,SUCCINIMIDE,SURF,TERP
276,12082,COC(=O)C1=CC=C(C=C1)N,-1.63,151.164,0.8953,-1.833,3,1,52.32,2,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,7175,CCCOC(=O)C1=CC=C(C=C1)O,-1.85,180.202,2.0876,-2.031,3,1,46.53,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,7184,CCCCOC(=O)C1=CC=C(C=C1)O,-2.57,194.229,2.542,-2.301,3,1,46.53,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,7456,COC(=O)C1=CC=C(C=C1)O,-1.85,152.149,1.2269,-1.461,3,1,46.53,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,7900,CC(COC)O,-2.90,90.1214,-0.089,-0.476,2,1,29.46,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
284,7996,CC(C)OCCO,-3.35,104.148,0.3173,-0.7759999999999999,2,1,29.46,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
285,8054,CC(=O)OCCOC,-2.88,118.131,0.0363,-0.508,3,0,35.53,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
286,8076,CCOCCO,-3.01,90.1214,-0.042,-0.398,2,1,29.46,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
287,8133,CCCCOCCO,-2.44,118.175,0.8668,-0.938,2,1,29.46,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
290,31288,CCCCOCCOCCOC(=O)C,-3.49,204.265,1.2589,-1.269,4,0,44.76,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
291,29352,CCCOC1=CC=C(C=C1)O,-1.82,152.192,2.1046,-1.908,2,1,29.46,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
294,17756,CCCOCCO,-3.14,104.148,0.4124,-0.6679999999999999,2,1,29.46,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
297,22833331,CCCCOC1=CC=CC(=C1)C(=O)NC(=S)NC2=CC=C(C=C2)C(=O)OCC,-3.96,148.201,0.5870000000000001,-0.88,3,1,38.69,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
299,4946,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,-3.74,259.348,2.4155,-3.574,3,2,41.49,6,2,9,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
301,3283,CCOCC,-1.80,74.1224,0.8847,-0.905,1,0,9.23,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
306,264,CCCC(=O)O,-3.00,88.1055,0.6097,-0.999,2,1,37.3,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
307,7991,CCCCC(=O)O,-2.70,102.132,1.0641,-1.269,2,1,37.3,3,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
308,8094,CCCCCCC(=O)O,-1.7,130.186,1.9729,-1.809,2,1,37.3,5,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
311,445639,CCCCCCCC/C=C\CCCCCCCC(=O)O,-2.88,282.466,6.7191,-4.551,2,1,37.3,15,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
317,8892,CCCCCC(=O)O,-1.85,116.159,1.5185,-1.539,2,1,37.3,4,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
324,5280934,CCC=CCC=CCC=CCCCCCCCC(=O)O,-2.43,278.434,6.2147,-4.095,2,1,37.3,13,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
336,7628,B(O)(O)O,-3.64,61.8318,0.0,3.28,3,3,60.69,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
337,962,O,-2.95,18.0149,0.0,-0.53,1,1,9.23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
451,262,CC(C(C)O)O,-4.39,90.1214,-0.1576,-0.726,2,2,40.46,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
452,5988,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O,-5.03,342.296,-4.6102,0.682,11,8,189.53,5,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
453,1030,CC(CO)O,-3.92,76.0945,-0.5169,-0.348,2,2,40.46,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
457,6251,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,-4.52,182.171,-3.1458,0.546,6,6,121.38,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
497,3033871,CCCCCCCCN1CCCC1=O,-1.27,197.321,3.2219,-2.395,2,0,20.31,7,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
507,78555,CCCCCCN1CCCC1=O,-2.65,169.267,2.3131,-1.855,2,0,20.31,5,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
531,6436,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)CCC5=CC(=O)C=C[C@@]53C)F)O,-4.69,434.502,1.332,-3.661,6,2,93.06,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
562,3423265,CCCCCCCCCCCCOS(=O)(=O)[O-],-2.49,288.383,1.7321,-2.031,4,0,74.81,12,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
582,7507,C1CCC(CC1)CO,-3.48,114.187,1.3946,-1.803,1,1,20.23,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
583,6986,CC1CCC(C(=O)C1)C(C)C,-3.83,154.252,2.5549,-2.552,1,0,17.07,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
584,101977,C[C@H](CCC=C(C)C)CCO,-2.97,156.268,3.3494,-2.153,1,1,20.23,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
585,637566,CC(=CCC/C(=C/CO)/C)C,-3.22,154.252,3.4853,-1.889,1,1,20.23,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
586,643820,CC(=CCC/C(=C\CO)/C)C,-3.39,154.252,3.4853,-1.889,1,1,20.23,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
587,638072,CC(=CCC/C(=C/CC/C(=C/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)/C)C,-3.65,410.727,13.099,-6.3,0,0,0.0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
588,16217350,C[C@@]12CC[C@@H]3[C@H](CC3(C)C)C(=C)CC[C@H]1O2,-3.62,222.37,3.1597,-3.399,1,1,20.23,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
589,1742210,[C@@]12CC[C@@H]3[C@H](CC3(C)C)C(=C)CC[C@H]1O2,-2.65,220.355,4.0553,-3.5580000000000003,1,0,12.53,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
590,8364,CCCCC(CC)COC(=O)C1=CC=CC=C1O,-2.25,250.337,4.1235,-3.2710000000000004,3,1,46.53,8,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
593,31253,CC(=CCCC(=C)C=C)C,-2.19,136.237,4.2932,-2.502,0,0,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
596,2724159,CC(=C)[C@H]1CCC(=CC1)C=O,-2.86,150.22,2.2224,-2.247,1,0,17.07,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
597,443163,C[C@@H]1CC[C@H](C[C@H]1O)C(=C)C,-3.89,154.252,2.6138,-2.404,1,1,20.23,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
598,89755,C[C@H]1CC[C@@H](C[C@@H]1O)C(=C)C,-3.77,154.252,2.6138,-2.404,1,1,20.23,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
602,444795,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,-4.7,300.44,5.8207,-3.478,2,1,37.3,5,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
603,3327,CC(=CCCC(=CCCC(=CCO)C)C)C,-2.79,222.37,5.6571,-2.865,1,1,20.23,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
604,6431015,C[C@@H]1CC[C@@H]2[C@]13CC=C([C@H](C3)C2(C)C)C,-2.92,204.356,3.9819,-3.642,0,0,0.0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
606,1796220,C[C@]12CCCC([C@@H]3[C@H]1CC[C@@H]3C2=C)(C)C,-3.25,204.356,4.0602,-3.809,0,0,0.0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
607,221071,C[C@H]1[C@@H]2CC[C@]3(C=CC(=O)C(=C3[C@H]2OC1=O)C)C,-3.44,246.305,1.8467,-2.704,3,0,43.37,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
608,11095734,C[C@@H]1CC[C@@H]2[C@@H]1[C@H]3[C@H](C3(C)C)CCC2=C,-3.17,204.356,3.998,-3.792,0,0,0.0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
609,227829,C[C@H]1CC[C@H](CC2=C1CC[C@@H]2C)C(C)(C)O,-3.54,222.37,3.6689,-3.256,1,1,20.23,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
610,10364,CC1=C(C=C(C=C1)C(C)C)O,-3.77,150.22,2.8448,-2.535,1,1,20.23,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
611,5320249,CC(=C)CC/C=C(\C)/C=C,-2.36,136.237,4.2932,-2.502,0,0,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
612,136330,CC1=CC=CC(CC1=O)(C)C,-3.33,150.22,2.1758,-2.077,1,0,17.07,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
614,10582,CC1(C2CC=C(C1C2)CO)C,-2.63,152.236,1.7943,-2.012,1,1,20.23,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
615,10586,CC1(C2CC=C(C1C2)CO)C,-2.18,222.37,4.4711,-3.162,1,1,20.23,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
616,638011,CC(=CCC/C(=C/C=O)/C)C,-2.22,152.236,3.273,-2.104,1,0,17.07,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
617,11106485,C1=CC=C(C=C1)[C@H]2C3=C(C=CC(=C3)Br)N=C(N2CC(=O)NN)C4=CC=C(C=C4)Cl,-2.9,204.356,4.0602,-3.809,0,0,0.0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
618,261491,C[C@@H]1[C@H]2C[C@]2(CC1=O)C(C)C,-3.75,152.236,2.1785,-2.435,1,0,17.07,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
619,22227,C[C@@H]1CC[C@H](CC1=O)C(=C)C,-3.15,152.236,2.7575,-2.455,1,0,17.07,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
621,61130,CC1(C2CC=C(C1C2)C=O)C,-2.39,150.22,1.582,-2.227,1,0,17.07,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
622,11463,CC1=CCC(=C(C)C)CC1,-3.06,136.237,3.454,-2.336,0,0,0.0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
623,443157,C[C@@H](CCC=C(C)C)CC=O,-2.22,154.252,3.1371,-2.3680000000000003,1,0,17.07,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
625,439570,CC1=CC[C@H](CC1=O)C(=C)C,-3.32,150.22,2.653,-2.191,1,0,17.07,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
626,23204,CC1=CC[C@H](CC1=O)C(=C)C,-2.71,204.356,6.2387,-3.401,0,0,0.0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
627,445354,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C,-2.86,286.457,6.1703,-3.4960000000000004,1,1,20.23,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
629,5284507,CC(=CCC/C(=C/CCC(C)(C=C)O)/C)C,-2.08,222.37,5.4029,-3.125,1,1,20.23,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
630,5280489,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(CCCC2(C)C)C)\C)\C)/C)/C,-4.62,536.885,13.873,-7.334,0,0,0.0,10,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
632,5280435,C[C@@H](CCC[C@@H](C)CCC/C(=C/CO)/C)CCCC(C)C,-2.21,296.5370000000001,7.4212,-4.633,1,1,20.23,13,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
633,65575,C[C@@H]1CC[C@@H]2[C@]13CC[C@@]([C@H](C3)C2(C)C)(C)O,-3.42,222.37,3.263,-3.4560000000000004,1,1,20.23,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
634,13918856,C[C@@H]1CC[C@@H]2[C@]13CC[C@@]([C@H](C3)C2(C)C)(C)OC(=O)C,-2.38,264.407,3.7476,-3.866,2,0,26.3,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
635,6549,CC(=CCCC(C)(C=C)O)C,-4.0,154.252,3.2311,-2.149,1,1,20.23,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
638,5281515,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,-3.15,204.356,5.4861,-3.662,0,0,0.0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
639,11858788,C[C@@H]1CC[C@@H]2[C@@H]1[C@H]3[C@H](C3(C)C)CC[C@]2(C)O,-1.96,222.37,3.2008,-3.439,1,1,20.23,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
640,16666,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,-3.21,156.268,2.4112,-2.501,1,1,20.23,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
641,170833,C[C@@H]1CC[C@H]([C@@H](C1)O)C(=C)C,-3.72,154.252,2.6138,-2.404,1,1,20.23,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
643,442495,C[C@@H]1CCC(=C(C)C)C(=O)C1,-2.87,152.236,2.8501,-2.252,1,0,17.07,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
644,6989,CC1=CC(=C(C=C1)C(C)C)O,-3.74,150.22,2.8448,-2.535,1,1,20.23,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
646,7438,CC1=CCC(CC1O)C(=C)C,-2.91,152.236,2.5093,-2.14,1,1,20.23,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
648,7460,CC1=CCC(C=C1)C(C)C,-2.23,136.237,2.8834,-2.408,0,0,0.0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
